field_1,lat,lon,depth,time,orid,evid,julian_date,nass,ndef,ndp,grn,srn,etype,review,depdp,dtype,mb,mbid,ms,msid,ml,mlid,algorithm,auth,commid_x,lddate_x,date,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,sdobs,smajax,sminax,strike,sdepth,stime,conf,commid_y,lddate_y
0,55.9222,-120.3991,0.3337,1547196796.78,1,1,-1,6,6,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.03,5907,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-11 08:53:16.780709982,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.3737,2.2402,0.9457,359.38,7.1076,-1,0,-1,1565395763.82
2,56.0733,-120.4998,0.2076,1547203601.1,3,3,-1,11,11,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.46,5909,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-11 10:46:41.098030090,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.4652,1.8433,0.7554,21.66,5.952,-1,0,-1,1565395763.82
4,56.0659,-120.5671,0.1585,1547216266.85,5,5,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.83,5911,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-11 14:17:46.853950024,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.239,3.0717,2.2188,241.72,7.7089,-1,0,-1,1565395763.82
6,55.8867,-120.4167,0.3341,1547261828.42,7,7,-1,11,11,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.43,5913,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-12 02:57:08.421859980,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.4122,0.831,0.6781,346.69,4.5861,-1,0,-1,1565395763.82
21,56.0758,-120.5257,0.1208,1547555803.15,22,22,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.45,5928,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-15 12:36:43.154170036,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2582,2.3771,1.5383,354.92,8.6657,-1,0,-1,1565395763.82
37,56.0626,-120.5648,1,1547618034.47,38,38,-1,6,6,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.33,5944,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-16 05:53:54.465810061,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.1992,3.1819,2.3085,20.6,0,-1,0,-1,1565395763.82
41,56.0416,-120.5565,1,1547620181.54,42,42,-1,14,14,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.43,5948,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-16 06:29:41.537830114,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2658,1.7363,1.0742,335.14,0,-1,0,-1,1565395763.82
55,56.0746,-120.5328,1,1547637441.31,56,56,-1,5,5,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.56,5962,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-16 11:17:21.313400030,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2119,5.2144,2.6972,259.44,0,-1,0,-1,1565395763.82
58,56.0537,-120.5811,1,1547662988.69,59,59,-1,12,12,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.54,5965,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-16 18:23:08.686769962,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2706,1.8325,1.1935,335.85,0,-1,0,-1,1565395763.82
62,56.067,-120.5188,1,1547674630.21,63,63,-1,8,8,-1,-1,-1,-,-,-999,-,-999,-1,-999,-1,0.56,5969,dbgenloc,dbgenloc:PGCMl,-1,1565395763.82,2019-01-16 21:37:10.209990025,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,-1000000000,0.2096,2.3056,1.4621,3.31,0,-1,0,-1,1565395763.82
