,orid,status
0,20190601H000000,review
1,20190601H020011,false
2,20190601H030088,false
3,20190601H030152,false
4,20190601H040015,false
5,20190601H040022,false
6,20190601H040037,false
7,20190601H100000,review
8,20190601H100005,review
9,20190601H100012,review
10,20190601H110001,review
11,20190601H150000,review
12,20190601H150001,correct
13,20190601H170000,false
14,20190601H170001,false
15,20190601H170002,false
16,20190601H190000,review
17,20190601H190002,review
18,20190601H190004,review
19,20190601H190018,false
20,20190601H200041,false
21,20190601H200143,false
22,20190601H200211,false
23,20190601H200277,false
24,20190601H210102,false
25,20190601H230412,false
26,20190602H000502,review
27,20190602H010018,false
28,20190602H030004,false
29,20190602H030045,false
30,20190602H120000,review
31,20190602H130004,false
32,20190602H130027,false
33,20190602H140095,false
34,20190602H140108,review
35,20190602H180008,false
36,20190602H180199,false
37,20190602H180214,false
38,20190603H000000,false
39,20190603H000002,false
40,20190603H010000,correct
41,20190603H040000,review
42,20190603H070001,review
43,20190603H140077,false
44,20190603H150016,false
45,20190603H150176,false
46,20190603H150251,false
47,20190603H150279,review
48,20190603H160006,false
49,20190603H160030,false
50,20190603H160578,false
51,20190603H170000,false
52,20190603H170052,false
53,20190603H170081,false
54,20190603H170112,false
55,20190603H180004,false
56,20190603H180026,false
57,20190603H180039,false
58,20190603H190044,false
59,20190603H190113,false
60,20190603H190162,false
61,20190603H200080,false
62,20190603H210019,false
63,20190603H210086,false
64,20190603H220035,false
65,20190603H220044,review
66,20190603H220052,review
67,20190603H220078,review
68,20190603H220229,false
69,20190603H220253,false
70,20190603H220318,false
71,20190603H220414,false
72,20190603H220513,false
73,20190603H230032,false
74,20190603H230036,false
75,20190603H230039,false
76,20190603H230048,false
77,20190603H230075,false
78,20190603H230113,false
79,20190603H230161,false
80,20190603H230196,false
81,20190603H230311,false
82,20190603H230598,false
83,20190604H000006,false
84,20190604H000050,review
85,20190604H000242,false
86,20190604H000330,false
87,20190604H040000,review
88,20190604H040001,false
89,20190604H050041,false
90,20190604H050050,review
91,20190604H050060,false
92,20190604H050328,false
93,20190604H130043,false
94,20190604H140004,review
95,20190604H140040,false
96,20190604H140041,false
97,20190604H140606,false
98,20190604H150021,unassigned
99,20190604H150034,unassigned
100,20190604H150037,unassigned
101,20190604H150044,unassigned
102,20190604H150095,unassigned
103,20190604H150360,unassigned
104,20190604H150635,unassigned
105,20190604H160155,unassigned
106,20190604H170078,unassigned
107,20190604H170442,unassigned
108,20190604H170685,unassigned
109,20190604H180001,unassigned
110,20190604H180002,unassigned
111,20190604H190006,unassigned
112,20190604H220019,unassigned
113,20190604H220078,unassigned
114,20190605H000002,unassigned
115,20190605H010278,unassigned
116,20190605H030041,unassigned
117,20190605H140000,unassigned
118,20190605H140011,unassigned
119,20190605H140024,unassigned
120,20190605H150029,unassigned
121,20190605H170000,unassigned
122,20190605H170007,unassigned
123,20190605H170028,unassigned
124,20190605H170050,unassigned
125,20190605H170162,unassigned
126,20190605H170360,unassigned
127,20190605H170396,unassigned
128,20190605H170639,unassigned
129,20190605H180010,unassigned
130,20190605H180026,unassigned
131,20190605H180162,unassigned
132,20190605H190306,unassigned
133,20190605H190344,unassigned
134,20190605H190370,unassigned
135,20190605H200043,unassigned
136,20190605H200088,unassigned
137,20190605H200187,unassigned
138,20190605H200262,unassigned
139,20190605H200321,unassigned
140,20190605H200404,unassigned
141,20190605H210003,unassigned
142,20190605H210010,unassigned
143,20190605H210031,unassigned
144,20190605H210054,unassigned
145,20190605H210749,unassigned
146,20190605H220006,unassigned
147,20190605H220010,unassigned
148,20190605H220065,unassigned
149,20190605H220096,unassigned
150,20190605H220113,unassigned
151,20190605H220177,unassigned
152,20190605H230015,unassigned
153,20190605H230023,unassigned
154,20190605H230048,unassigned
155,20190605H230068,unassigned
156,20190605H230120,unassigned
157,20190605H230121,unassigned
158,20190605H230152,unassigned
159,20190605H230173,unassigned
160,20190605H230183,unassigned
161,20190605H230207,unassigned
162,20190605H230275,unassigned
163,20190605H230312,unassigned
164,20190605H230313,unassigned
165,20190605H230476,unassigned
166,20190606H000053,unassigned
167,20190606H030024,unassigned
168,20190606H030197,unassigned
169,20190606H170000,unassigned
170,20190606H210000,unassigned
171,20190606H210001,unassigned
172,20190606H210002,unassigned
173,20190606H230000,unassigned
174,20190606H230002,unassigned
175,20190606H230008,unassigned
176,20190606H230015,unassigned
177,20190606H230022,unassigned
178,20190607H000000,unassigned
179,20190607H000001,unassigned
180,20190607H020000,unassigned
181,20190607H020001,unassigned
182,20190607H020003,unassigned
183,20190607H020202,unassigned
