,Unnamed: 0,datetime,lat,lon,depth,ndef,orid,quality,evid,area_id
0,0,2019-06-01 00:44:39.807976723,55.966875000000016,-120.91999999999996,1.3125,14,20190601H000000,12,20190601H000000,3
1,214,2019-06-01 03:04:18.586212158,55.86000000000001,-120.56999999999992,0.0,7,20190601H020011,6,20190601H020000,3
2,398,2019-06-01 03:10:38.078540325,56.19750000000002,-121.2,1.0,8,20190601H030088,-1,20190601H030000,3
3,440,2019-06-01 03:11:01.945606709,55.5225,-119.83999999999979,1.0,7,20190601H030152,-1,20190601H030000,3
4,574,2019-06-01 04:15:23.976455212,55.86843750000001,-121.25,2.875,7,20190601H040015,6,20190601H040002,3
5,577,2019-06-01 04:15:27.407743216,56.04000000000002,-120.87999999999997,1.0,7,20190601H040022,-1,20190601H040002,3
6,587,2019-06-01 04:15:13.505416632,55.758750000000006,-121.1,0.0,6,20190601H040037,6,20190601H040002,3
7,1703,2019-06-01 10:16:39.703072071,56.05687500000001,-120.80499999999996,0.3125,14,20190601H100000,14,20190601H100000,3
8,1706,2019-06-01 10:16:40.150628328,56.04000000000002,-120.79999999999994,1.0,10,20190601H100005,-1,20190601H100000,3
9,1709,2019-06-01 10:16:29.140735388,55.63500000000001,-121.2,1.0,8,20190601H100012,-1,20190601H100000,3
10,1771,2019-06-01 11:49:23.953023911,55.68,-120.35499999999986,0.0,7,20190601H110001,6,20190601H110000,3
11,2340,2019-06-01 16:00:02.102770329,55.90218750000001,-120.41499999999986,4.125,7,20190601H150000,7,20190601H150000,3
12,2341,2019-06-01 15:20:40.716538668,56.01750000000001,-120.65999999999993,3.5,10,20190601H150001,9,20190601H150000,3
13,2561,2019-06-01 17:29:13.282752752,55.99500000000002,-120.31999999999987,1.0,7,20190601H170000,-1,20190601H170000,3
14,2562,2019-06-01 17:29:07.375472546,55.93875000000001,-120.90499999999996,1.3125,6,20190601H170001,6,20190601H170000,3
15,2563,2019-06-01 17:29:07.684137821,55.927500000000016,-120.87999999999997,1.0,7,20190601H170002,-1,20190601H170000,3
16,2889,2019-06-01 19:47:30.775391340,56.04843750000001,-120.76999999999994,0.3125,8,20190601H190000,7,20190601H190000,3
17,2890,2019-06-01 19:47:25.502777100,56.15531250000002,-121.00999999999998,3.1875,7,20190601H190002,7,20190601H190000,3
18,2892,2019-06-01 19:47:26.178452730,56.13562500000002,-120.98999999999997,0.0,7,20190601H190004,6,20190601H190000,3
19,2898,2019-06-01 19:07:21.552852869,55.57593749999999,-120.66499999999992,2.5625,6,20190601H190018,6,20190601H190000,3
20,3137,2019-06-01 20:07:54.834021807,55.969687500000006,-120.51499999999987,1.9375,6,20190601H200041,6,20190601H200000,3
21,3209,2019-06-01 20:16:37.473843098,55.59,-119.79999999999978,1.0,7,20190601H200143,-1,20190601H200000,3
22,3258,2019-06-01 20:16:27.563963413,56.28750000000003,-120.83999999999996,1.0,7,20190601H200211,-1,20190601H200000,3
23,3299,2019-06-01 20:16:32.526774645,55.81500000000001,-119.83999999999979,1.0,7,20190601H200277,-1,20190601H200000,3
24,3472,2019-06-01 21:37:37.516985893,55.88250000000002,-120.07999999999984,1.0,8,20190601H210102,-1,20190601H210000,3
25,4037,2019-06-01 23:18:33.582394361,56.15250000000002,-121.12,1.0,7,20190601H230412,-1,20190601H230001,3
26,4348,2019-06-02 00:36:03.769207239,56.11875000000001,-120.72999999999996,0.0,6,20190602H000502,6,20190602H000000,3
27,4406,2019-06-02 01:06:29.583457708,56.04000000000002,-120.87999999999997,1.0,7,20190602H010018,-1,20190602H010000,3
28,4956,2019-06-02 03:12:47.079317331,55.95000000000002,-120.35999999999987,1.0,7,20190602H030004,-1,20190602H030000,3
29,4978,2019-06-02 03:38:00.943111420,55.99500000000002,-120.15999999999985,1.0,7,20190602H030045,-1,20190602H030000,3
30,5865,2019-06-02 12:20:09.532332897,56.08500000000002,-120.83999999999996,0.0,7,20190602H120000,6,20190602H120000,3
31,5938,2019-06-02 13:54:21.698223352,56.22000000000003,-120.75999999999992,1.0,7,20190602H130004,-1,20190602H130001,3
